1	4.372597	4.542642	0.101000	0.095900
2	3.160212	3.273596	0.131000	0.116500
3	2.848957	2.889964	0.109000	0.100900
4	2.740217	2.782580	0.125000	0.113200
5	2.684532	2.723879	0.144000	0.129000
6	2.636354	2.682205	0.154000	0.142300
7	2.572713	2.607197	0.155000	0.142100
8	2.536214	2.579829	0.182000	0.168300
9	2.471792	2.514861	0.182000	0.169300
10	2.454016	2.495457	0.201000	0.187300
11	2.408337	2.452091	0.198000	0.186500
12	2.381643	2.422090	0.213000	0.203000
13	2.347240	2.388182	0.216000	0.203000
14	2.314211	2.358703	0.230000	0.217300
15	2.278321	2.317770	0.230000	0.216300
16	2.256044	2.304627	0.251000	0.233800
17	2.231358	2.275230	0.250000	0.237400
18	2.204327	2.258055	0.264000	0.245100
19	2.168672	2.223922	0.279000	0.262200
20	2.137385	2.193700	0.284000	0.266800
21	2.111742	2.159660	0.278000	0.266500
22	2.090283	2.150940	0.298000	0.273100
23	2.050879	2.106240	0.306000	0.280300
24	2.049236	2.108066	0.316000	0.286000
25	1.986543	2.053139	0.339000	0.294700
26	1.990255	2.058167	0.336000	0.300200
27	1.955330	2.026616	0.342000	0.310100
28	1.957117	2.023942	0.350000	0.312500
29	1.922012	1.991430	0.357000	0.317300
30	1.913316	1.987582	0.352000	0.311200
31	1.883053	1.954878	0.368000	0.330200
32	1.853800	1.928733	0.381000	0.333300
33	1.860949	1.933982	0.377000	0.338300
34	1.828978	1.903881	0.385000	0.344700
35	1.828393	1.898166	0.380000	0.346700
36	1.804271	1.882263	0.389000	0.348900
37	1.808976	1.881013	0.390000	0.348100
38	1.785299	1.862244	0.407000	0.351300
39	1.784352	1.863300	0.397000	0.356500
40	1.753593	1.837993	0.401000	0.356700
41	1.758548	1.838247	0.411000	0.367700
42	1.744256	1.823337	0.409000	0.362300
43	1.737840	1.819608	0.415000	0.373100
44	1.724669	1.807780	0.421000	0.372900
45	1.714821	1.794590	0.429000	0.380800
46	1.703903	1.791364	0.426000	0.386400
47	1.691830	1.772078	0.432000	0.384500
48	1.680400	1.767288	0.435000	0.390800
49	1.671064	1.751803	0.436000	0.395100
